Target_genes	POU5F1|Average	SRX130060|BJ	SRX185775|BJ	SRX2431535|BJ	SRX5774914|Dermal_fibroblast	SRX5774915|Dermal_fibroblast	SRX5774916|Dermal_fibroblast	SRX5774919|Dermal_fibroblast	SRX5774920|Dermal_fibroblast	SRX1053369|Embryonic_Stem_Cells	SRX1053370|Embryonic_Stem_Cells	SRX1053378|Embryonic_Stem_Cells	SRX1053379|Embryonic_Stem_Cells	SRX702068|hESC_derived_ectodermal_cells	SRX702063|hESC_derived_mesendodermal_cells	SRX702064|hESC_derived_mesendodermal_cells	SRX702067|hESC_derived_mesendodermal_cells	SRX011571|hESC_H1	SRX011572|hESC_H1	SRX017276|hESC_H1	SRX100483|hESC_H1	SRX2966970|hESC_H1	SRX2966971|hESC_H1	SRX021069|hESC_H9	SRX021070|hESC_H9	SRX021071|hESC_H9	SRX2881139|hESC_H9	SRX2881140|hESC_H9	SRX3288570|hESC_H9	SRX3288571|hESC_H9	SRX4405899|hESC_H9	SRX4405901|hESC_H9	SRX5774922|hESC_H9	SRX266859|hESC_HUES64	SRX702065|hESC_HUES64	SRX702066|hESC_HUES64	SRX702069|hESC_HUES64	SRX1813578|iPS_cells	SRX1813579|iPS_cells	SRX512369|iPS_cells	SRX1813572|MRC-5	SRX1813573|MRC-5	SRX1813574|MRC-5	SRX1813575|MRC-5	SRX1813576|MRC-5	SRX1813577|MRC-5	SRX2732208|MRC-5	SRX2732209|MRC-5	SRX123443|NCCIT	SRX123445|NCCIT	SRX2966968|Testis	SRX2966969|Testis	STRING
REST	386.490196	0	0	81	0	0	0	0	0	1288	1446	1388	1388	0	556	0	357	0	0	392	624	0	0	305	117	211	604	161	1049	1015	220	155	0	2425	615	407	2487	0	79	804	0	0	0	0	0	0	0	0	285	1252	0	0	0
STAT3	302.098039	128	65	238	0	0	0	0	0	1080	1121	947	840	395	390	0	194	0	0	448	470	0	0	275	217	377	344	405	146	104	229	567	0	2170	431	308	2230	0	0	733	0	0	0	0	0	0	0	0	119	436	0	0	0
OBI1	274.980392	0	0	0	0	0	0	0	0	995	1243	1241	978	0	177	0	290	0	0	417	431	0	0	0	328	264	107	174	1226	948	0	0	0	1590	205	256	1619	0	0	635	0	0	0	0	0	0	0	0	248	652	0	0	0
MTRNR2L8	263.666667	856	499	287	0	243	460	584	515	504	605	125	270	440	155	0	0	148	0	0	707	577	731	200	255	315	623	681	372	452	236	330	0	400	0	126	394	0	0	224	0	0	0	141	0	82	0	0	348	439	123	0	0
MTRNR2L2	254.313725	1054	517	356	0	365	566	875	652	330	355	155	214	253	169	0	0	166	0	0	988	632	608	109	250	371	704	724	190	157	295	382	0	295	0	0	251	0	0	240	0	0	0	182	0	0	0	0	233	332	0	0	0
PRICKLE1	213.000000	0	0	0	0	0	0	0	0	1177	1228	759	705	0	219	0	242	0	0	290	334	0	0	415	345	508	79	90	1024	774	0	88	0	583	0	135	616	0	0	360	0	0	0	0	0	0	0	0	329	563	0	0	0
PIPOX	208.156863	0	0	0	0	0	0	0	0	124	166	743	700	0	259	0	146	0	0	351	330	0	0	298	514	466	0	104	696	701	0	97	0	1652	80	0	1726	0	0	301	0	0	0	0	0	0	0	0	178	984	0	0	0
SNRPN	205.313725	0	0	0	0	0	0	0	0	1008	1031	832	615	0	247	0	125	0	0	220	334	0	0	198	169	292	107	167	584	538	0	89	0	956	157	158	1009	0	0	472	0	0	0	0	0	0	0	0	228	935	0	0	0
AHCYL2	201.980392	0	0	0	0	0	0	0	0	407	596	720	585	0	193	0	186	0	0	355	224	0	0	0	190	284	0	63	916	798	0	0	0	1516	0	85	1618	0	0	611	0	0	0	0	0	0	0	0	273	681	0	0	0
NANOG	190.568627	0	0	0	0	0	0	0	0	689	747	486	431	0	175	0	0	0	0	258	625	0	0	0	0	310	0	133	531	657	0	0	0	1324	0	0	1378	0	0	484	0	0	0	0	0	0	0	0	325	1166	0	0	0
SRRM4	189.627451	0	0	0	0	0	0	0	0	580	686	274	283	0	142	0	126	0	0	179	421	0	0	517	492	534	0	95	262	325	0	111	0	1436	331	296	1490	0	0	460	0	0	0	0	0	0	0	0	0	631	0	0	0
